ock,Experience Hands-on ( 100 Words ),Years,Category,"Courseware
Skillware",Self Rating,Last edited time,__PowerAppsId__
Google,"Proficient in creating Kubernetes clusters and virtual machines (VMs) within Google Cloud Platform (GCP) to facilitate scalable and resilient application deployments. With hands-on experience in GCP's Kubernetes Engine, I design and configure clusters tailored to specific workload requirements, ensuring optimal performance and reliability. By leveraging GCP's robust infrastructure and Kubernetes capabilities, I enable seamless container orchestration, resource management, and application scaling. Continuously exploring new features and best practices, I stay updated on the latest advancements in GCP Kubernetes services, empowering organizations to harness the full potential of cloud-native technologies for accelerated innovation and business growth.",3,Cloud Computing,No,5,"July 27, 2023 21:21",634ab5f2a4b546c69140dcdf01316bb9
Google Meets,"Management (ALM) team presentations. Preparation involves meticulous planning and coordination with team members. Setting up Google Meet sessions through Google Calendar ensures smooth communication. During presentations, screen sharing facilitates the demonstration of slides and live software workflows, while interactive features like chat and polls encourage engagement. Handling technical issues calmly and collecting feedback for improvement are essential practices. Reflecting on each presentation enables continuous refinement, ultimately fostering collaboration and productivity within the ALM team.",4,Professional Development,No,7,,4b286ba31e144e0084f837a2cb9075fc
GooglePlay,Releasing software the Google Alphabet,2,Software Engineering,No,,"August 17, 2023 16:13",334128cf503d43b6a2acde0b0c689d59
Gpu ,Created automation around Nvidia A100 GPU based compute in Microsoft Azure. Complex workstation setups with 8 monitors with video production. ,2,,No,,"July 6, 2023 15:01",e4fd71ec526c4650b82069168c2fa522
Grafana,Delivered project and created dashboards using the Grafana,1,,No,,"July 4, 2023 19:38",bdea959ce3964edd8845b38a263412a8
GPT,Building orchestrators on real time smtp and messaging system based on Azure and Google Drive based artifacts for direct response marketing ,2,Software Engineering,No,,,
Hadoop,"I have used Hadoop more than 2 projects .Used it in adserver, PoC in UniCredit",2,,No,,"July 5, 2023 16:00",6276efd5b39b4c01ac54599bab792c35
Hadoop,Implemented proof of Concept for the transformations in Accenture for financial instutions,1,Big Data,No,4,"July 27, 2023 21:47",cb400682d60841538e0865ac0c03af05
HashiCorp Vault (Enterprise),"I have extensive experience in implementing in Concentra, integrating, and automating HashiCorp Vault features, which has significantly improved security protocols and operational efficiency in previous roles.",3,,Yes,6,,e312c4d40000444195c7e4a7b3ddd3e7
Helm,Kubernetes application management for the clusters and creating ELK clusters using it,2,DevOps,No,,"August 17, 2023 16:13",ae05df711e944524aa020f475e43251c
HTML,Created an admin portal for an Ad server and a CRM system serving more than 100 clients,6,,No,,"July 4, 2023 19:29",a2a349b109704a4fa85a5309da6192bc
HTML5,Using the rich html features to support video production sites,2,Front End Development,No,,"August 17, 2023 16:13",482f16bb505740b6a1668c41b967d093
HTTP,Set up multiple certificates on web access firewalls in Azure understanding HTTP and HTTPS. Created certificates in AWS and deployed it using serverless websites,6,,No,,"July 4, 2023 19:29",dc36af3f110c41f7a6560f294fde867a
HTTPS,Set up multiple certificates on web access firewalls in Azure understanding HTTP and HTTPS. Created certificates in AWS and deployed it using serverless websites,4,,No,,"July 4, 2023 19:29",ab703f222fcc4a5490e8e474580da207
IaaS,"Experienced in AWS, Azure, and GCP, managing infrastructures and seamlessly migrating legacy systems to the cloud. Expertise includes designing, deploying, and optimizing cloud environments to enhance scalability, reliability, and cost-efficiency. With a proven track record in executing successful migrations, I ensure smooth transitions while maximizing the benefits of cloud technologies for organizations, driving innovation and efficiency.",5,,No,,"July 4, 2023 19:16",176024a9b2e349cda82df5ad1a237b20
IaC,"I have managed and provisioned resources in the cloud using declarative and imperative styles using IaC( Infrastructure as Code ).I have used tools such as Ansible and Azure Resource Manager, Terraform and AWS Cloud formation",5,,No,,"July 4, 2023 19:29",78a207276d7d4e6b8e57eaca34c21ef1
IAC Toolchain Support,"I have supported multiple projects with infrastructure as code toolchains, improving infrastructure management and deployment processes, which have significantly increased operational efficiency.",3,,No,6,,3491cdac46d44f62bb59c2eade49b9f6
IIS,Manamged more than 10 IIS instances. More than 5 years on a daily basis,7,System Administrator,No,8,"July 27, 2023 21:22",f89a510f8da3431db7a16270064281ae
Industry Experience,"My robust experience in major global organizations, especially within regulated industries, has equipped me with the skills to navigate complex regulatory environments and implement compliant solutions.",3,,No,6,,93acefd77246452f96480b02b7b76d97
Infrastructure,I have managed infras in the cloud and onpremise more than 10 projects.,6,,No,,"July 4, 2023 19:16",50cd4e595180495ca1a1fdf689586542
InfrastructureAsCode,"Worked with IaC tools such as Chef, Bash, and Terraform in my Concentra contract",4,,No,,"July 4, 2023 19:29",7a57252e5aaa4f2b92e5dc3711c439a2
Interpersonal and Communication Skills,"My proven interpersonal and communication skills have enabled me to interact effectively with diverse international teams, making me a valuable asset in global corporate settings.",3,,No,6,,cc456b626ebb45ccac829c20b219df1e
Invoicing,"Can invoice customers from UK,USA and Turkey",10,,No,,"July 6, 2023 11:59",da9748349cb94bf4a2821fe5602a8d63
Iot,"Managed IoT machines, and designed queue systems",4,Cloud Computing,No,5,"July 27, 2023 21:23",321e6513051d455da0134879d05f6970
Iso,Implemented documentation model to maintain top real online agency,6,,No,,"July 10, 2023 09:41",b429744ea3454f5385715122b6a6f8ac
Java,I gave java courses more than a year for college undergraduates. Did code quality control for the top banks in Europe.Core Java instructor for beginners,4,,No,,"July 5, 2023 16:00",a0f70af056d44e2f97f11add8098bb7c
Javascript,I have built Javascript more than +6 web projects including trading engines and sports side with many interactions,4,Front End Development,No,,"July 5, 2023 16:00",28324f851c244b0abcaa968ebb9023fb
Jekyll,I have managed to publish using a Ruby CMS Jekyll,1,,No,,"July 5, 2023 16:00",7179aea799f74fb69f046aa2d04b5ee5
Jenkins,"I have worked in multiple projects converting Jenkins into Azure DevOps"";",2,DevOps,https://github.com/rifaterdemsahin/jenkinsmigrationtoazuredevops/tree/main,,"July 4, 2023 19:24",0c7c285d92a74c87b0ae651801829ba9
Jira,"I have managed Jira as an admin in multiple projects. I have used Jira in waterfall and agile projects."";",4,Software Engineering,No,8,"July 27, 2023 21:24",0fb39130eda74343ae18bb81262364f4
jQuery,Using it to build dashboards for the serverless systems,2,Front End Development,No,,"August 17, 2023 16:13",fd08f6937a384a249c4c157fc089e080
JSON,Creating the CI/CD workflows based on Json state machines with Azure logic apps,2,Front End Development,https://github.com/rifaterdemsahin/jq,,"August 17, 2023 16:13",ab325bd5df3f49b2809ec906fd585ee4
Kanban,"managed more than 10 Kanban implementations, Active user of Kanban methods and delivered 8+ projects using agile Kanban methods.",10,Software Engineering,No,8,"July 27, 2023 21:24",544babf8a43441d59b96bcb838eb333f
Kubernetes,I have managed Kubernetes in the cloud and created the infrastructure in WMWare in my Redbox Contract. I have used metalLB as the loadbalancer and documented the whole process in Jira Confluence.,3,DevOps,No,8,"July 27, 2023 21:25",835cade72a39412b8f06b78141949094
Kubectl,"I designed Infrastructure as Code (IaC) to deploy Kubernetes on OpenShift, using kubectl for cluster management and automation. Resources were efficiently managed and deprovisioned in Azure using Logic Apps when not in use.






",3,DevOps,No,8,,
Lambda,implemented in more than 4 projects including TransVR for Lockeed martin VR automation for Oculus Quest,4,Cloud Computing,No,,"July 27, 2023 22:10",ac5918b5b1fb48afa810a55e6b21f5c2
LAMP,"Deployed Bitnami LAMP Stack on Google Cloud Platform (GCP) as an Associate Engineer, supporting the DevOps team for the Photon project. Managed server configurations, ensuring seamless deployment and optimal performance. Enhanced operational efficiency and project delivery by leveraging Bitnami's pre-packaged applications, streamlining the development process for the engineering team. Demonstrated expertise in cloud infrastructure, automation tools, and cross-functional collaboration, contributing to the successful execution of the Photon contract.






",,,,,,bf33132c425346eda91bad43a3b95a9e
Language,"My strong proficiency in spoken and written English has facilitated clear and effective communication across all levels of an organization, enhancing team understanding and project success.",3,,No,6,,f1bc8081d46742d2901b95c139f9f48f
Lastpass,using the secrets tools in different enviroments for devsecops,7,Secure Coding,No,8,"August 19, 2023 06:58",95e59c9aee184e17b2dd1aae0ef50f41
Linkedin ,"Successfully built a LinkedIn presence with 30k+ followers, driving engagement through strategic content creation and curation. Proficient in crafting compelling posts, articles, and multimedia content to enhance brand visibility and thought leadership. Leveraging analytics and audience insights, I optimize content strategies to resonate with target audiences, resulting in increased reach and engagement. Check out my profile for examples: https://www.linkedin.com/in/rifaterdemsahin/",6,Professional Development,,,,a84020acf5cc444f82a8bc37478a030a
Linux,"I used Automation tasks, testing systems, containers, Cloud and on-premise, Digital Ocean, Ubuntu, Linux. Managing on a daily basis",6,,No,,"July 4, 2023 19:41",835bfc8fa4d1425caa82bebdbcd1b194
Logstash,Created a logging solution in Kubernetes microservices using Logstash to shard the logs by date,4,,No,,"July 5, 2023 16:00",bc6f59cafb0c496a919f63d4ec9a1084
Natural Language Processing ,"I worked with the Zargana framework to target website visitors, enabling publishers to analyze user behavior and place advertisements effectively. This involved utilizing the Model-View-Controller (MVC) architecture of the .NET framework and integrating AWS web services to ensure scalable and reliable performance. My role included developing and optimizing components to enhance targeting accuracy and data analysis capabilities, contributing to improved ad placement and user engagement for our clients.






",,,,,,
MacOs,I use Mac OS X on a daily basis. I use such as terminal,6,,No,,"July 5, 2023 16:01",9f1d738e620441568db5cb4b718f3c8d
Management,Managed small team for the san francisco startup and worked in big enterprises like Accenture as a senior manager.worked in accenture as a manager +80 team members,15,Professional Development,No,8,"August 21, 2023 10:51",438bd95159644f1f834909a441349dce
Marketing,Implemented an agency and had more than 1000 transactions. Create more than 10 websites and managed over 100k of adwords marketing.,7,Professional Development,No,8,"July 27, 2023 21:17",8a6d098558594393a0ab5895806c5ab4
Maven,Used Maven in Accenture with development teams exceeding 1000 package management users,4,,No,,"July 4, 2023 19:33",05376c36c324402ba4bfa3cf0159d46e
mentoring,Created multiple courses and helped thousands of people learn the necessary skills gaps,6,,No,,,ef700b20b3ca4fc1a5011ee8d01bdd6d
Mercurial, Git alternative legacy systems and migrating them to Git,2,DevOps,No,,"August 17, 2023 16:13",de9669474c6643529dbc5d01ed146881
Methodologies,Software Architecture ,2,Software Engineering,No,,"August 17, 2023 16:13",05845060e2de487f815e14ea38f1769d
Microservices,implemented it in more than 10 different projects. Created and delivered more than 10 different sessions,8,Software Engineering,No,8,"July 27, 2023 21:34",d08ad907be74498aa496d2f547a4f8c7
Microsoft,Worked as a Cloud Solution Architect in Microsoft. Implementing Azure solutions for top enterprises. Necessary certificates to implement solutions in Azure,1,Professional Development,https://github.com/rifaterdemsahin/automation-with-ansible/blob/main/output.md,4,,9269b6b573434e9294c035c1dc40e983
Mindmap,Top user in Mindmeister for a long time over 10k mind maps,6,,No,,"July 4, 2023 19:29",b82d367ec6c44f648bdd5210593ef60f
Mindmeister,Building mindmap for complex microservices in order to be able to reverse engineer the infrastructure as code. ,2,Uncategorised,No,,"August 17, 2023 16:13",e60a858968f541a29584d46ea1b5699f
Minio,Implement minio as object storage for the promethesus metrics,,,,,,
Miro,Building mindmap for delivery on demand systemsin order to be able to create maturity matrix for CI/CD.,2,Uncategorised,No,,"August 17, 2023 16:13",d8b50681710d4f06b0057b79e0beee6d
Mobility,"Worked in different cities all over the globe. London, Glasgow,Istanbul,Seattle,Solothurn,Burgdorf,Izmir,Ankara,Uppingham,Leeds,Edinburgh,Cambridge,Nottingham",8,,No,,"July 6, 2023 11:58",3740646c5a584429888ffa00099611fa
Mongodb,I have used Mongodb for more than 2 projects. I have used on premise and the cloud versions such as ObjectRocket,4,,No,,"July 4, 2023 19:33",8d814ede107e40ea9a782ffae01b77c1
Monolith,Built monoliths and 3 tier architectures and migrated multiple monoliths to microservices,9,,No,,"July 4, 2023 19:28",323e760f54c841299c6c04f04b8c2c71
MsTeams,Used in more than 10 different contracts,6,Professional Development,No,8,"July 29, 2023 11:56",92e58ea266e041c9845c08cd4b57d696
MVC,Model view controllers for web based application with the best practices implementation,3,Software Engineering,No,,"August 17, 2023 16:13",27b305c81f9c451bbb849531966e8983
MVP,"I have created multiple MVP and a strong advocate on Steve Blanks product creation method with business model canvas."";",12,,No,,"July 5, 2023 16:01",d628e5de6eff4d39a3822c9af44c2e8a
MyGet,Used package management system Myget in more than 3 projects implementing microservices and serving common libraries,3,,No,,"July 5, 2023 16:01",61c2c8f4fd34441db225177311928024
MySQL,I have to build MySQL project in my disc academy project which was used with million unique users in Turkey's biggest hr assessment system,2,,No,,"July 4, 2023 19:29",3036773bc44643e79d8853c890d9c299
NodeJS,Configure grafana and update the configuration to serve in the virtual machines to external networks and do reverse proxy in the Azure Openshift and Redhat environments,,,,,,
Native,implemented only cloud-native projects in multiple different contracts,5,Cloud Computing,No,9,"July 27, 2023 22:13",934164dc17294e1288e0cfa2834745b7
Notion,Managed a video production team of 5 to create Udemy and Thinkific videos,,,,,,
Natural Language Processing,Processing language in the workflows using microsoft openai,2,AI,No,,"August 17, 2023 16:13",0a08ef3831364189a118b15c7f48a6b0
Negotiation,Active negotiation for more than 20+ contracts globally.,2,Professional Development,No,,"August 17, 2023 16:13",2ed14acc3ee04b50891fad7703ca0e3d
Neo4j,worked on proof of concept application using graph databases,2,Big Data,No,5,"July 27, 2023 22:03",03ff8b9ab729406589bc43583c642876
Networking,Built and managed networks for more than 10 years on-premise and in the cloud,2,System Administrator,No,,"July 4, 2023 19:29",2486b6cd60364e88b1477a6680cc879b
NewRelic,I have used multiple APM Application performance monitoring tools to monitor microservices.,2,DevOps,No,,"August 17, 2023 16:13",ec9afedb809d41c18f24ac49f972c6b1
nginx,Used reverse proxies on load balancers and kubernetes projects,3,System Administrator,No,6,"July 27, 2023 21:30",752aa5af5d50431ba14a167d8b145656
NodeJs,Deployed multiple Node.js systems in my contracts which involved rebuilding them for different environments with dynamic configuration.Implemented Devops integrations for Node.js applications. Extensive debugging and configuration,3,,No,,"July 4, 2023 19:33",d4c608134d144d7d87c859bf0d82492b
Nosql,Experience in CAP theorem,7,Big Data,No,9,"July 27, 2023 22:03",b0a2bb87405e43b2a724f2fe87c89bb3
oauth,"optimize lead processing using OAuth integration between Google Cloud Platform (GCP) and Azure Logic Apps. Leveraging GCP's Sandbox Tool and Azure's automation capabilities, we automated lead retrieval and processing for efficient follow-up. This seamless integration allowed us to retrieve leads left in the queue, prioritize them, and assign them to sales representatives dynamically. By eliminating manual tasks, we ensured timely response to leads, enhancing customer engagement and conversion rates.",2,Cloud ,No,5,,54b3b2cb2d814f5fb94879d66de24e21
OpenVINO,Transcribe videos using audiacity and Intel Vino and weekly publish them to youtube on closing the skills gaps,2,Video Production,,,,
Object,Object oriented programming and delivered 10+ projects,2,Software Engineering,No,,"August 17, 2023 16:13",36760f1898fc4e4ebadfb4635c7f7eac
obs,"created more than 100 videos using obs helped 10k learners in skillshare,udemy",3,Video Production,No,,"July 6, 2023 14:32",c4b3c9b080e34d408f89295393447c02
Octopus,I used Service Fabric to deploy microservices and set up with ARM,5,,No,,"July 4, 2023 19:29",2d3dfa98c6ce4361abf27f110574bef9
Oculus,I have used Oculus for Defense systems training program backend orchestration with distribution,6,,No,,"July 4, 2023 19:29",d7049aeb1dc3403f909a141c71480c96
Okta,"I have managed OKTA for identity services for an insurance enterprise."";",4,,No,,"July 4, 2023 19:16",fb64b119713a408a8e3e831a7fa351bd
OpenCL,Implemented infrastructure as code project over the GPU based compute to rent A100 chip based system in Microsoft Azure,2,Big Data,No,7,"July 27, 2023 22:05",284d247ef509494f8f56476e8cb16940
OpenID,I have used OAuth 2.0 in multiple projects to enable authentication.,5,,No,,"July 4, 2023 19:24",ab549f250c894382b6d31c78222a6024
OpenSource,Opensource implementation join ventilator implementation during the covid epidemic.,2,Software Engineering,No,,"August 17, 2023 16:13",8e92e309c5e4491f8cb35217dfa59556
Oracle,I have completed 2 onsite contracts migrating the servers.,8,,No,,"July 4, 2023 19:24",8c763744d9814a2797df8fa47f69d574
Parsec,Remote pairing sessions with video production teams,,VideoProduction,No,,"August 20, 2023 16:40",3aefa4577c944523a2816ed11c3ec242
Paypal,Business paypal management systems and integrating them with quickbooks and running the business for 7 years.,,,,,,
Payment Gateway.,Payment gateways built to collect the money from online franchise payments on a monthly basis.,,,,,,
patterns,Completed more than 2 years on research projects relating to software design patterns. Worked on the project of Joe Yoder referencing the work of gang of four,6,,No,,"July 4, 2023 19:29",d365d78d98154f62b7d9eca093fa043c
Penetration,Testing for security,2,Secure Coding,No,,"August 17, 2023 16:13",4c52bbf5ec1d47e28ded9cdbc7a84868
Pentest,I have implemented best security practices and pentests in my contracts more than 5 projects.,3,,No,,"July 4, 2023 19:40",f5133167e5de45adbe61e1bc1d10c658
Perforce,Triple A game development CI/CD pipelines for the American Contracting company. DElivered on Jenkins. Optimized for the bandwith usages,2,,No,,"July 6, 2023 11:54",2c9a2a5842924f38aef2be7ea9508d1c
Performance,Building high performance trading systems based on cap theorem in the Theta trading.,2,Software Engineering,No,,"August 17, 2023 16:13",1254681d00384545b427c56d0f71fbd8
Personal Development,"I actively focus on personal development, setting actionable goals that have led to significant growth in my professional capabilities and leadership skills.",3,,No,6,,47d49d0238fb446086359a5dc6cbb3e7
"Personality
",Profile generation for recruiting ,2,Professional Development,No,,"August 17, 2023 16:13",ed2bc8c0007f461db4ffc90cbb83710b
Pipelines,"Built pipelines using different tools such as Jenkins, TeamCity, UCB, Octopus, Azure DevOps, Github Actions.Azure pipelines for the CI systems",8,,https://github.com/rifaterdemsahin/jenkinsmigrationtoazuredevops/tree/main,,"July 5, 2023 16:01",411b4119a25840a19a2e6855fe423bec
POEAA,Implemented Patterns of Enterprise Application Architecture in multiple projects,6,,No,,"July 4, 2023 19:24",7a4fc8e3308742ba95090b48f83bc114
PostgreSQL,I have completed multiple remote contracts operating with teams in two different continents.,6,,No,,"July 4, 2023 19:24",e6141cd1d1f943f1aafb517f9ab9f80e
PowerBI,Created reporting solutions using powerbi,2,Big Data,No,4,"July 27, 2023 22:05",596efc8445d7433a876009a66f7a2d53
Powershell,"I used Powershell for Automation scripts to create the deployment pipeline. Used PowerShell, Octopus Deploy in my Smartspace contract to build one of the biggest implemented meeting automation systems in the world",8,System Administrator,No,8,"July 27, 2023 21:28",53336622265444a8bce32dcf3077c21c
Presentation,"- Proficient in various presentation skills to effectively convey complex concepts
- Ability to illustrate and communicate intricate ideas using a variety of mediums
- Proficient in video production for dynamic and engaging visual representations
- Experienced in using online diagramming tools such as Miro for visually mapping out complex concepts",5,Professional Development,No,6,"August 17, 2023 16:13",2c28b19c97fc47ee9a7fb23f270c26fc
Privileged Access Management Implementation,"As a leader in PAM initiatives using HashiCorp Vault, I've successfully managed projects from inception to deployment, including stakeholder consultations to accurately capture and implement security requirements.",3,,No,6,,05ed03c810da41d8a2875c1a468cae13
Product,Working as a product owner more than 5+ startup projects and creating pocs for the market,2,Professional Development,No,,"August 17, 2023 16:13",431e482a418c4d8198cff53b977d646b
Professional,100x career growth and immigration while working in 5 continents and 10+ cities globally.,2,Professional Development,No,,"August 17, 2023 16:13",bbe02639add648ffa74b510e2350e1a3
Programming,Programming background for the DevOps implementation and helping the teams with active pair programming,2,Software Engineering,No,,"August 17, 2023 16:13",547ab133eb364190a2b5f4d40f26f3a7
Programming and Scripting,"My technical expertise extends to scripting with Python, PowerShell, Ansible, and YAML, alongside using REST APIs and Docker, which have been integral in automating and optimizing numerous operational tasks.",3,,https://github.com/rifaterdemsahin/automation-with-ansible/blob/main/output.md,6,,7e4bea9aeb2240d5a60cc47cf2f9234a
Proxmox,Hosted and managed multi container and multi vm structure,2,,No,,"July 5, 2023 16:01",628af108703f44a68c9e5741be42172e
Prompt Engineering,"Daily utilization of GPT models for automation and manual implementation in enterprise marketing, sales, and idea creation processes. Developed a DevOps maturity matrix assessment tool. Created and delivered courses on Prompt Engineering to mitigate hallucinations in LLMs trained on internet data.






",,,,,,
Puppet,I have used Puppet and done many proof of concepts for the Microsoft Azure platform,1,,No,,"July 5, 2023 16:01",7bf7cb0b6f914fd182995e671870d099
Python,I used Python language for devops automation scripting and debugging,6,DevOps,https://github.com/rifaterdemsahin/automation-with-ansible/blob/main/output.md,,"July 4, 2023 19:29",a5924f2ac6f94df3a848ebfdb43c4209
Queue,Building queues for microservices based on CQRS systems,2,System Administrator,No,,"August 17, 2023 16:13",cfff391f9a864291a3eaad4b2056e025
Quickbooks,Used in contracting practice turn over million dollars,5,Professional Development,No,7,"July 29, 2023 12:18",b29a65458d3d47439413cafd7c429ab4
Raspberry,Working with Rasberry Pi in a video production video with various usecases.,2,Software Engineering,No,,"August 17, 2023 16:13",45b9e1f404ea4ca098b64fd9f63ea911
RDP,Remote desktop management for 20+ devices in a multi network enviroment,1,VideoProduction,No,6,"August 20, 2023 16:40",74e093c2778c4cab94a25d1c5fb5229b
RDS,Created AWS RD instances for the customers to manage their data,2,Big Data,No,6,"July 27, 2023 21:49",8362c4dc57c74d67ae2fd4edd70ad2e9
RDS,I have built more than 4 projects on Amazon RDS,5,,No,,"July 4, 2023 19:29",98161b275fb34672a1acc93a51596033
Rego,"I have experience with Wiz security control Rego policies. Rego is a high-level declarative language used in Open Policy Agent (OPA) to write policies that enforce security controls and compliance checks. Wiz uses these policies to monitor and enforce security measures within cloud environments.
",3,Cloud,,,,
Redis,"Created 5 different systems using Redis in mission-critical projects.I have used Redis for more than 3 projects. For example, addserver with online analytics",3,Big Data,No,7,"July 27, 2023 22:06",49b8b5f151ff4ca89e84373f25551cc0
Relational,I have build multiple products using NoSQL databases and used them with the broad understanding of CAP theorem.,8,,No,,"July 5, 2023 16:01",c50fbff2f0cd490282129a6f5ff620c9
Relocation,Lived in 20 different cities during contractiong,10,Professiona development,Yes,9,,9ff8e6493a8b41e8b1792c09a0cd68bb
Remote,I have completed multiple remote contracts operating with teams in two different continents. Created a remote workstation enviroment with fiber connections for virtual machines.,5,,No,,"July 6, 2023 11:57",ebed7806b0104bb3b5a81e41eea4f6fe
Resolve,Using video production editting tools to create 100+ technical video 10k students globally,3,VideoProduction,No,,"August 17, 2023 16:19",d83c3a801dad47679f52cd6118671e8d
Responsive,Designing websites for different audiences.,2,Front End Development,No,,"August 17, 2023 16:13",c53d1285a670466c9511545bc44b6d08
Responsive Product Support,"I am known for my prompt responses to product needs and customer requests, swiftly implementing changes and enhancements to maintain high customer satisfaction and system reliability.",3,,No,6,,19fa40ccaa064bfb9425e8458e222892
RedHat,Built Openshift Clusters and managed Kubernetes deplyments,6,,No,,"July 4, 2024 19:28",bd584ae7d4f140f4bbb37f068eba5f05
REST,Built APIs and used REST to communicate with third-party systems,6,,No,,"July 4, 2023 19:28",bd584ae7d4f140f4bbb37f068eba5f05
Restream,Created more than 40 podcast and published them to 4 platforms,2,,No,,"July 5, 2023 16:02",c9704b919e664fe1bbc962f6f797df5f
Rancher,Implement and work on kubernetes clusters,,,,,,
Review,Extensive background on cleancode and managed teams in Accenture for SonarQube management,10,Software Engineering,No,10,"July 27, 2023 21:09",98c2637b73a8429ea45b3dfff03245bd
Route 53,Created multi zones and managing it on a year basis,4,Cloud Computing,No,5,"July 27, 2023 22:08",522a7d016ebb47fd8083eaf7b9af0e9e
Router,Managed Omr and edgemax router with draytek in a bounded fiber environment,8,,No,,"July 7, 2023 10:28",634462eb885e43e780488a479dba7781
RPA,Robotic process automation for global lead generation system based on Upwork ,2,AI,No,,"August 17, 2023 16:13",1ba9aaff127a4519a6819d7ff0bcc6ec
Ruby,I have managed to publish an open-source project based on building ventilators using Ruby,2,,No,,"July 4, 2023 19:29",11255206b3d44b5ea2e1362488c2950a
RUP,implemented rational unified process with documentation,2,Software Engineering,No,,"August 17, 2023 16:13",64854845d5a14083b96e28dbf74242d4
Selenium,Creation of and run of selenium test in more than 4 projects. Also training teams to use selenium as their default automation frameworks by implementing xpath finding strategies with GPT.,,,,,,
S3,implemented in multiple project which includes Github actions based deployments.Used S3 to host serverless websites and store content for CDN,7,Big Data,No,8,"July 27, 2023 21:51",5e9c2d61a3624a62a1263f608d82ab52
SC,Security clearance working in the Scottish Goverment in United Kingdom in the Funding projects,1,Professional Development,No,4,,dc25ba382e4a4741a42c8f0f28d9e641
Screenshot,Created a library of +100k images using tools like Lightshot and Greenshot for active photographic memory techniques,5,,No,,"July 4, 2023 19:29",1424279a1d5d4aa082260869ab90af5e
Scripting,Script Programming Used Bash in Linux environments for container orchestration. Implemented Powershell in Windows environments to setup ServiceFabric based on microservices,5,System Administrator,https://github.com/rifaterdemsahin/workstation/,,"July 4, 2023 19:29",390d7d230a5f4fd3a6efcc4e9a61354d
Scrum,Worked in more than 10 different teams sizes bigger than 5 and delivered projects in a scrum style,6,Software Engineering,No,,"July 5, 2023 16:04",ed1fb6ba6a324b4c94bd5ca2b504ba7a
Scrumban,Working with different versions of scrum with global teams,2,Software Engineering,No,,"August 17, 2023 16:13",98caea3eeb7b436f8086c46d4b3118a5
SDLC,I have documented multiple projects software development life cycle using Rational Unifed Process based documention approach.,3,,No,,"July 4, 2023 19:15",ef656d299dc441289a1fbac0023d51c9
Secret,"I have used secrets managers like Azure Key Vault, Key Vault and Secrets manager to hold keys for microservices.",8,,No,,"July 4, 2023 19:24",44678b94ac9b45f6927d0d774d588f78
Secrets,Secrets management with applications such as lastpass,10,Secure Coding,No,,"August 17, 2023 16:13",efc847787e01417c80ab92897161e342
Security,"Worked on multiple DevSecOps projects and implemented security measures to bypass penetration tests,Implemented mitigations for more then 5 pentest processes. Including bitcoin based top trading platforms",6,Secure Coding,No,,"July 4, 2023 19:29",a79f9f0e2c4b4c77aa45b450442fc2a7
SEO,Search Engine Optimization,2,Professional Development,No,,"August 17, 2023 16:13",a229dabe7a204340926a65065bd36f1e
Serverless,I am a strong advocate on serverless technology and did setup multiple orchestrators to coordinate DevOps processes on AWS Lambda and Azure Logic Apps. I leverage the power of cloud for the customers not to reinvent the wheel.,9,,https://github.com/rifaterdemsahin/logicapp-emailsend,,"July 4, 2023 19:24",f089e83428e54e5da98e3fac6918becb
SES,I have used transactional email systems to build notification systems for gaming/betting and blockchain trading systems.,6,,No,,"July 4, 2023 19:24",b68fc9296fb042e1866012d398b47fe4
Shell,automated more than 5 projects in an end-0to-end style,8,System Administrator,No,8,"July 27, 2023 21:29",b5cab7f94d3c4b6fb0dbce9538f3a8d3
Slack,Using slack as a chatops source and use it a proactive messaging platform for the error management,2,Uncategorised,No,,"August 17, 2023 16:13",bf7e6b9932734b368b608a3eedabd89f
SNS,I havbe build notification system to push messages to end users.,5,,No,,"July 4, 2023 19:24",41096ff987e94bbb882a8f6daa8ac20d
SOA,Service oriented architecture for delivery on demand systems and creating frameworks for planners.,2,Software Engineering,No,,"August 17, 2023 16:13",efaf24ed3d1d4a07b1e98bb876930958
Social, Media Marketing,10,Professional Development,No,,"August 17, 2023 16:13",60cf6c9a000440aa81eed52116718fe3
SOLR,Comparison in Microsoft with other search tools using Lucene with ELK. Created and maintained the Elastic search for enterprise support reasons. ,1,Big Data,No,5,"August 4, 2023 10:27",1b6b56fd40ca49148e57a299d3c38b95
Sonarqube,"I have setup multiple ELK, Elastic Search Logstash and Kibana implementations.",2,,No,,"July 4, 2023 19:16",2c4fbf9c361d42c28a4085fdadf5b77b
Splunk,Microsoft cloud solution arcitect poc  ,1,,No,,"July 18, 2023 12:44",2f319758f8d7474db5848915297ea430
SQL,I have used SQL Server for more than 6 projects. I am experienced with ETL transformations. I have worked on Oracle to SQL server migration for telecom companies for high scale implementations.,8,,No,,"July 27, 2023 22:01",38348f96623144bd861a68dd1bf851a6
SQS,"I have used SQS,Rabbit MQ and Azure Service bus in multiple contracts to setup CQRS and microservices architectures.",3,,No,,"July 4, 2023 19:24",d259a49879c54ed0b34f6c833930cf56
SRE,I have worked as a DevOps Site Reliability Engineering contractor implementing best practices in site reliability engineering.,6,,No,,"July 4, 2023 19:29",4121c7830f0343f39c0f89204ebb3811
SSH,I managed the daily usage of SSH server in the cloud,4,,https://github.com/rifaterdemsahin/automation-with-ansible/blob/main/output.md,,"July 4, 2023 19:29",ade68dbb55274b37a81970ef25a43b28
